VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,Flag Codes,Flags
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2005,2005,80.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2006,2006,81,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2007,2007,81.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2008,2008,81.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2009,2009,81.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2010,2010,81.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2011,2011,81.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2012,2012,82,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2013,2013,82.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2014,2014,82.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2015,2015,82.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2016,2016,82.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2017,2017,82.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2018,2018,82.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2019,2019,82.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2020,2020,83.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2005,2005,79.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2006,2006,80.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2007,2007,80.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2008,2008,80.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2009,2009,80.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2010,2010,80.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2011,2011,81.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2012,2012,81.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2013,2013,81.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2014,2014,81.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2015,2015,81.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2016,2016,81.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2017,2017,81.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2018,2018,81.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2019,2019,82,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2020,2020,81.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,2005,2005,79.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,2006,2006,79.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,2007,2007,79.9,,
