HF,Financing scheme,HC,Function,HP,Provider,MEASURE,Measure,LOCATION,Country,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",HUN,Hungary,2005,2005,USD,US Dollar,0,Units,,,518.069,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",HUN,Hungary,2006,2006,USD,US Dollar,0,Units,,,550.111,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",HUN,Hungary,2007,2007,USD,US Dollar,0,Units,,,508.272,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",HUN,Hungary,2008,2008,USD,US Dollar,0,Units,,,535.153,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",HUN,Hungary,2009,2009,USD,US Dollar,0,Units,,,551.888,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",HUN,Hungary,2010,2010,USD,US Dollar,0,Units,,,598.128,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",HUN,Hungary,2011,2011,USD,US Dollar,0,Units,,,662.141,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",HUN,Hungary,2012,2012,USD,US Dollar,0,Units,,,625.948,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",HUN,Hungary,2013,2013,USD,US Dollar,0,Units,,,602.551,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",HUN,Hungary,2014,2014,USD,US Dollar,0,Units,,,614.271,,
