VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,Flag Codes,Flags
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,AUS,Australia,2005,2005,20176.8,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,AUS,Australia,2006,2006,20451,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,AUS,Australia,2007,2007,20827.6,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,AUS,Australia,2008,2008,21249.2,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,AUS,Australia,2009,2009,21691.7,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,AUS,Australia,2010,2010,22031.8,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,AUS,Australia,2011,2011,22340,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,AUS,Australia,2012,2012,22733.5,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,AUS,Australia,2013,2013,23128.1,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,AUS,Australia,2014,2014,23475.7,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,AUS,Australia,2015,2015,23816,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,AUS,Australia,2016,2016,24190.9,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,AUS,Australia,2017,2017,24601.9,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,AUS,Australia,2018,2018,24982.7,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,AUS,Australia,2019,2019,25365.7,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,AUS,Australia,2020,2020,25693.3,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,AUT,Austria,2005,2005,8227.8,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,AUT,Austria,2006,2006,8268.6,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,AUT,Austria,2007,2007,8295.5,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,AUT,Austria,2008,2008,8321.5,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,AUT,Austria,2009,2009,8343.3,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,AUT,Austria,2010,2010,8363.4,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,AUT,Austria,2011,2011,8391.6,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,AUT,Austria,2012,2012,8430,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,AUT,Austria,2013,2013,8479.8,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,AUT,Austria,2014,2014,8546.4,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,AUT,Austria,2015,2015,8642.7,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,AUT,Austria,2016,2016,8736.7,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,AUT,Austria,2017,2017,8797.6,,
